,title,link,summary,published,tags,category,credit,source
0,"Pokud chceme pandemii udržet pod kontrolou, je potřeba důsledně monitorovat výskyt mutací, říkají vědci",https://www.lidovky.cz/domov/pokud-chceme-pandemii-udrzet-pod-kontrolou-je-potreba-dusledne-monitorovat-vysk.A210528_222052_ln_domov_lihem#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,"Příznivý vývoj epidemie koronaviru v Česku lze podle odborníků udržet přes léto i na podzim nejen pokračováním očkování. Důležité je také zavést efektivní preventivní opatření, zejména důsledný monitoring nebezpečných variant viru, jako je indická nebo jihoafrická mutace. V dnešním prohlášení to uvedli vědci z iniciativy Sníh.",2021-05-28 20:20:00,['Zprávy - Domov'],Zprávy z domova,ČTK,lidovky.cz
1,"Hlavní manažer ANO pobíral neoprávněně plný zastupitelský plat. Chybu přiznává, peníze vrátí",https://www.lidovky.cz/domov/hlavni-manazer-ano-pobiral-podle-webu-neopravnene-plny-zastupitelsky-plat-chybu.A210528_205319_ln_domov_lihem#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,"Hlavní manažer hnutí ANO Jan Richter loni pobíral plný plat člena zastupitelstva Ústeckého kraje, ačkoliv měl jako poslanec dostávat jen 40 procent. Podle webu Deník N a serveru HlídacíPes.org to vyplývá z výsledku kontroly, kterou iniciovali ústečtí krajští zastupitelé. Richter potvrdil, že plat v plné výši skutečně dostával. Byl to podle něj omyl a peníze hodlá vrátit.",2021-05-28 18:53:00,['Zprávy - Domov'],Zprávy z domova,MAFRA,lidovky.cz
2,"Vzpomeňme si, co udělaly bary loni v létě, mladí lidé nejsou zdaleka proočkovaní, varuje Smejkal před rozvolňováním",https://www.lidovky.cz/domov/prilisne-rozvolneni-muze-zpomalit-trend-klesajiciho-poctu-nakazenych-odbornici.A210528_200338_ln_domov_lihem#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,"Po zmírnění protiepidemických opatření, ke kterému vláda přistoupila kvůli rozsudku Nejvyššího správního soudu (NSS), může podle odborníků  pokles počtu nových případů zpomalit. Epidemiolog Petr Smejkal, který vede Mezioborovou skupinu pro epidemické situace (MeSES), varoval před opakováním loňské chyby.",2021-05-28 18:03:00,['Zprávy - Domov'],Zprávy z domova,Petr Lundák MAFRA,lidovky.cz
3,Poslední „Berdychovec“ je za mřížemi. Policie přivezla z USA zbývajícího člena nechvalně proslulého gangu,https://www.lidovky.cz/domov/policie-privezla-z-usa-posledniho-clena-tzv-berdychova-gangu-pripad-je-tak-po.A210528_184753_ln_domov_lihem#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,"Čeští kriminalisté přivezli z USA Jaromíra Prokopa, posledního člena takzvaného Berdychova gangu, odsouzeného za únos a smrt zlatníka z roku 1996 a loupežná přepadení dalších lidí. Na Twitteru to uvedla policie. Americká policie po spolupráci s českými vyšetřovateli Prokopa dopadla loni na jaře, český soud mu už dřív v jeho nepřítomnosti uložil 13,5 roku vězení.",2021-05-28 18:03:00,['Zprávy - Domov'],Zprávy z domova,Policie ČR,lidovky.cz
4,"Mezi Českem a sedmi zeměmi bude po první dávce očkování turistika bez omezení, oznámil Vojtěch",https://www.lidovky.cz/domov/mezi-ceskem-a-sedmi-zememi-bude-po-prvni-davce-ockovani-turistika-bez-omezeni-oznamil-vojtech.A210528_095541_ln_domov_libs#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,"Ze Slovenska, Polska, Německa, Rakouska, Maďarska a Slovinska a ze států s nízkým rizikem nákazy koronavirem bude možné přicestovat bez omezení 22 dní po první dávce vakcíny proti covidu-19, v případě jednodávkové vakcíny je to 14 dní. Na dotaz to uvedlo ministerstvo zahraničí.",2021-05-28 18:01:00,['Zprávy - Domov'],Zprávy z domova,ČTK,lidovky.cz
5,"Děti by se mohly očkovat od konce června, uvedla hygienička Svrčinová. Ředitelka SÚKL doplnila u nich priority",https://www.lidovky.cz/domov/vakcinace-deti-proti-covidu-je-dulezita-zejmena-pro-ty-co-trpi-poruchou-imunity.A210528_193030_ln_domov_lihem#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,"Očkování proti covidu-19 je důležité pro děti s onemocněním plic nebo trpící poruchou imunity, uvedla ředitelka Státního ústavu pro kontrolu léčiv (SÚKL) Irena Storová. Reagovala tak na stanovisko Evropské agentury pro léčivé přípravky (EMA), která doporučila nasazení vakcíny od firem Pfizer/BioNTech u dětí od 12 do 15 let. Dosud je tato očkovací látka proti novému typu koronaviru schválená pro lidi od 16 let.",2021-05-28 17:30:00,['Zprávy - Domov'],Zprávy z domova,MAFRA,lidovky.cz
6,Volné cestování po první dávce očkování je plné trhlin. Státy za hranicemi to vidí jinak než Česko,https://www.lidovky.cz/domov/volne-cestovani-po-prvni-davce-ockovani-je-plne-trhlin-staty-za-hranicemi-to-vidi-jinak-nez-cesko.A210528_155552_ln_domov_liluj#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,"Ačkoli se Česko odvolává na reciprocitu se sousedy a slibuje volné cestování už po první dávce vakcíny, za hranicemi to vidí jinak. A většinou se striktně drží dvoudávkové politiky.",2021-05-28 16:00:00,['Zprávy - Domov'],Zprávy z domova,Pixabay.com,lidovky.cz
7,"Úplné rozvolnění, kvůli soudu vláda od pondělí otevírá vše, co bylo dosud zavřené. Od hospod až po solária",https://www.lidovky.cz/domov/uplne-rozvolneni-kvuli-soudu-vlada-od-pondeli-otevira-vse-co-bylo-dosud-zavrene-od-hospod-az-po-sola.A210528_161538_ln_domov_rkj#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,"Přestřižení posledních proticovidových provazů přichází o dva týdny dříve, než si vláda a odborníci přáli. Akceleraci návratu k normálu zařídil Nejvyšší správní soud. Bez odkladných účinků stanovil, že mimo nouzový stav nemůže ministerstvo zdravotnictví zavírat provozovny. Proto už od pondělí otevírá vše, co zbývá: hospody, diskotéky, krytá koupaliště či sauny. Zavřeno už nebude nic, fungování míst však okleští režimová pravidla.",2021-05-28 14:24:00,['Zprávy - Domov'],Zprávy z domova,Petr Lundák MAFRA,lidovky.cz
8,"Hamáček na vládě předloží postup, jak odškodnit obyvatele v okolí Vrbětic. Řešením by mohl být nový zákon",https://www.lidovky.cz/domov/hamacek-na-vlade-predlozi-postup-jak-odskodnit-obyvatele-v-okoli-vrbetic-resenim-by-mohl-byt-novy-za.A210528_143507_ln_domov_libs#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,"Ministr vnitra Jan Hamáček (ČSSD) v pondělí vládě předloží navrhovaný postup, jak odškodnit obyvatele v okolí Vrbětic na Zlínsku, kde v roce 2014 explodovaly dva muniční sklady. Nejjednodušším způsobem podle něj je speciální zákon schválený Parlamentem. Pokud vláda nalezne shodu, přistoupí vnitro k dalším krokům pro přípravu odškodňovacího zákona.",2021-05-28 14:02:00,['Zprávy - Domov'],Zprávy z domova,MAFRA,lidovky.cz
9,"Mrhají nadšením vědců, říká o chování státu viroložka Ruth Tachezy",https://www.lidovky.cz/domov/mrhaji-nadsenim-vedcu-rika-o-statu-virolozka-ruth-tachezy.A210528_150108_ln_domov_liluj#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,"Výzkumný ústav BIOCEV už tři měsíce sekvenuje vzorky a hledá mutace covidu. Financuje si to sám, od státu zatím nedostal ani korunu. Mrhají chutí expertů pomáhat, říká v rozhovoru viroložka Ruth Tachezy.",2021-05-28 14:00:00,['Zprávy - Domov'],Zprávy z domova,MAFRA,lidovky.cz
