title,photo,summary,published,link,category,source
"Je to ostuda, hodně špatné utkání, štvalo Radu. Bída na Střelnici pokračuje",https://1gr.cz/fotky/idnes/21/122/cl6/KAZ900c6e_173430_3233598_1.jpg,"Fotbalisté FK Jablonec zůstávají dál pevně ukotveni ve skupině o záchranu. V nedělním utkání 18. kola první ligy nestačili doma na Střelnici na předposlední Teplice, kterým podlehli 0:2, a zase klesli až na 13. příčku.","Mon, 13 Dec 2021 11:26:00 GMT",https://www.idnes.cz/fotbal/prvni-liga/jablonec-teplice-petr-rada-prohra.A211213_641353_fotbal_ten#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Sport,idnes.cz
"Dražší nafta a močovina trápí záchranáře i dopravce, ve hře je vyšší jízdné",https://1gr.cz/fotky/idnes/19/083/cl6/RAS7d8436_nadr_zl9B.jpg,"Už několik měsíců rostou ceny pohonných hmot i kapaliny AdBlue, bez níž se neobejdou dieselové motory. Komplikuje to život záchranářům i hasičům, prodražuje se autobusová doprava a ceny budou zvyšovat technické služby. Řada organizací ve Zlínském kraji se bez peněz navíc neobejde, počítají s další podporou státu či měst.","Mon, 13 Dec 2021 11:24:00 GMT",https://www.idnes.cz/zlin/zpravy/kraj-zdrazeni-palivo-mocovina-adblue-hasici-dopravci-problem.A211202_639528_zlin-zpravy_hoo#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Domov,idnes.cz
"Nejlépe se lidem stále žije v Říčanech, skokanem roku je Vrchlabí",https://1gr.cz/fotky/idnes/21/122/cl6/REM901052_Beznzvu.jpg,"Nejlépe se lidem v Česku žije ve středočeských Říčanech, nejhůře v Orlové v Moravskoslezském kraji. Nejvýrazněji si meziročně polepšilo Vrchlabí, postoupilo výše o 64 míst na 73. pozici. Umístění v čele a na konci žebříčku se nezměnilo. Index kvality života, který hodnotí 206 obcí s rozšířenou působností, sestavuje společnost Obce v datech.","Mon, 13 Dec 2021 11:23:00 GMT",https://www.idnes.cz/zpravy/domaci/nejlepsi-obec-ricany-vrchlabi-obce-v-datech.A211213_114433_domaci_dape#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Domov,idnes.cz
"Smršť z poločasové šatny. Zápas jsme otočili i díky fandům, těší kouče Pardubic",https://1gr.cz/fotky/idnes/21/122/cl6/TEN90105d_16392436695585.jpg,"Takhle si příznivci pardubického basketbalu asi představují, že bude jejich Beksa dominovat v závěrech klání s papírově slabšími protivníky. Sobotní rezultát 91:60 s jedenáctým Olomouckem i finální čísla v důležitých statistikách, v tomto případě hlavně ve střelbě za dva body, z čáry trestného hodu a v asistencích, hovoří přesvědčivě.","Mon, 13 Dec 2021 11:21:00 GMT",https://www.idnes.cz/sport/basket/pardubice-olomoucko-narodni-basketbalova-liga.A211213_641331_sport-basket_ten#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Sport,idnes.cz
Sjezdovku v USA zaplnil dav Santa Clausů na lyžích. Jezdili pro charitu,https://1gr.cz/fotky/idnes/21/122/cl6/MIS900a3b_0S17_CHRISTMAS_SEASON_USA_1205_11.JPG,"Více než dvě stovky lyžařů a snowboardistů v převleku za Santa Klause obsadily středisko v americkém státě Maine. Registrací k této akci každý účastník přispěl dvaceti dolary na charitu. Celkový výtěžek, který přesáhl 5 tisíc dolarů (více než 112 tisíc korun), zamířil na konto místní neziskové organizace.","Mon, 13 Dec 2021 11:15:00 GMT",https://www.idnes.cz/zpravy/zahranicni/lyzari-snowboardiste-spojene-staty-santa-klaus-charita.A211212_100425_zahranicni_misl#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Svět,idnes.cz
KOMENTÁŘ: Slogany jako „už ani den zavřené školy“ mají na svědomí spoustu mrtvých,https://1gr.cz/fotky/idnes/21/091/cl6/MV8dd155_131653_7129665.jpg,"Nový ministr školství delší vánoční prázdniny chce, starý nikoliv. A spojuje je odpor k distanční výuce na školách. Předvolební slogany „už žádný lockdown“ a „už ani den zavřené školy“ mají na svědomí spoustu zbytečných mrtvých, píše ve svém komentáři pro MF DNES Radek Sárközi, prezident spolku Pedagogická komora.","Mon, 13 Dec 2021 11:00:00 GMT",https://www.idnes.cz/zpravy/domaci/skolstvi-koronavirus-pandemie-covid-vanocni-prazdniny.A211212_175604_domaci_albe#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Domov,idnes.cz
Obr z Dallasu definitivně končí. Bishopa už bolavé koleno do branky nepustí,https://1gr.cz/fotky/idnes/19/043/cl6/HLT7acdad_403032_HOCKEY_NHL_NSH_DAL_0420_1D_1.JPG,"Toužil po návratu. Rozhodl se dát zápasovému zápřahu ještě jednu šanci. Gólman Ben Bishop z Dallas Stars však v pětatřiceti letech zjistil, že na nejvyšší úrovni už chytat nemůže. Po operaci menisku se nezvládl dát zdravotně dohromady tak, jak by potřeboval, a oznámil konec kariéry.","Mon, 13 Dec 2021 10:59:00 GMT",https://www.idnes.cz/hokej/nhl/ben-bishop-konec-kariery-dallas.A211213_093911_nhl_itit#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Sport,idnes.cz
"Čeští chovatelé prasat prodělávají, třetina chce skončit už příští rok",https://1gr.cz/fotky/idnes/21/121/cl6/LUH8fd353_shutterstock_534953344.jpg,"Do roku 2030 plánuje uzavřít své provozy 52 procent chovatelů prasat, 30 procent už v příštím roce, uvádí průzkum Agrární komory ČR. „Uzavírání chovů povede k dalšímu poklesu potravinové soběstačnosti Česka a prohloubení závislosti na dovozech ze zahraničí. U vepřového masa musíme ročně dovážet více než 200 000 tun, tedy asi polovinu domácí spotřeby,“ řekl v pondělí prezident komory Jan Doležal.","Mon, 13 Dec 2021 10:44:00 GMT",https://www.idnes.cz/ekonomika/domaci/zemedelstvi-maso-prasata-drubez-skot-chovy.A211213_104405_ekonomika_rie#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Ekonomika,idnes.cz
V MHD v Českých Budějovicích mohou cestující od pondělí platit kartou,https://1gr.cz/fotky/idnes/21/122/cl6/MRL900c7f_mhdoznac.jpg,"Na tuhle novinku čekali cestující v českobudějovické MHD opravdu dlouho. A v pondělí se dočkali. Jízdenku si mohou koupit kartou přímo ve vozidle. Kdo tak bude třeba dobíhat na poslední chvíli a už by si lístek nestihl koupit v automatu, nemusí čekat na další spoj a rovnou nastoupí.","Mon, 13 Dec 2021 10:41:00 GMT",https://www.idnes.cz/ceske-budejovice/zpravy/mhd-dopravni-podnik-doprava-platba-kartou-jizdenka.A211212_193322_budejovice-zpravy_mrl#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Domov,idnes.cz
Noví poslanci poznávají svéráz Sněmovny. Někteří řeší souběhy funkcí,https://1gr.cz/fotky/idnes/16/112/cl6/SME6737f9_133637_2742076.jpg,"Z dvaadvaceti moravskoslezských poslanců jich devět usedlo do sněmovních lavic poprvé nebo po delší přestávce. Jejich život se tím značně změnil, přičemž část z nich zvažuje, jak zvládne souběh politických funkcí.","Mon, 13 Dec 2021 10:40:00 GMT",https://www.idnes.cz/ostrava/zpravy/poslanecka-snemovna-poslanec-rataj-sila-carbol-navratil.A211213_641420_ostrava-zpravy_jog#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Domov,idnes.cz
