title,photo,summary,published,link,category,source
"Vynucené přistání letadla v Minsku řídila KGB, odhalil běloruský dispečer",https://1gr.cz/fotky/idnes/21/121/cl6/DTT8ff95a_profimedia_0510254590.jpg,"Běloruský dispečer, který v květnu přiměl k přistání v Minsku letoun společnosti Ryanair s běloruským opozičním novinářem Ramanem Pratasevičem na palubě, utekl do Polska. Polským vyšetřovatelům vypověděl, že celou operaci řídil důstojník běloruské tajné služby KGB, uvedl list The New York Times. Informace si všímají také ruská, polská a nezávislá běloruská média.","Thu, 09 Dec 2021 09:08:00 GMT",https://www.idnes.cz/zpravy/zahranicni/raman-pratasevic-belorusko-letadlo-ryanair-opozice-pristani-alexandr-lukasenko-diktator-zadrzeni-kgb.A211209_093831_zahranicni_dtt#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Svět,idnes.cz
"Zkoušky by se mohly upravit při plošné uzávěře, řekl ministr Plaga",https://1gr.cz/fotky/idnes/21/103/cl6/BUR8efd4c_FCi3mqVWEAcyh3o.jpg,"Ministerstvo školství se nyní s ohledem na koronavirovou situaci nechystá upravit jarní přijímací, maturitní ani závěrečné zkoušky. Pokud by se plošně uzavřely školy, mohlo by podobně jako v minulém školním roce změnit termín, délku či obsah zkoušek, uvedl ministr školství Robert Plaga.","Thu, 09 Dec 2021 09:05:00 GMT",https://www.idnes.cz/zpravy/domaci/plaga-zkousky-covid-maturita-skoly-ministerstvo-skolstvi.A211209_095307_domaci_ihav#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Domov,idnes.cz
"Nikdo mě nepřeplatí, varuje O'Neal. Chce všechny prsteny legendy Russella",https://1gr.cz/fotky/idnes/21/113/cl6/TEN8fa0be_Z_84b800b337094e20a98a2b02d6462f78_0.jpg,"Do páteční aukce památečních předmětů basketbalové legendy Billa Russella hodlá aktivně vstoupit další slavný hráč - Shaquille O'Neal. Velmi aktivně... Čtyřnásobný vítěz NBA má zálusk hlavně na jedenáct mistrovských prstenů, které bývalý šampion s Bostonem dává do charitativní dražby.","Thu, 09 Dec 2021 09:01:00 GMT",https://www.idnes.cz/sport/basket/aukce-bill-russell-shaquille-o-neal.A211209_095719_sport-basket_par#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Sport,idnes.cz
"Máte čas do 20. prosince. Arizona dluží, hrozí, že nebude smět do domácí haly",https://1gr.cz/fotky/idnes/21/114/cl6/ROU8fc5e2_48e5de9d9d0e448ebe15dd88c9085c94_0.jpg,"Hokejistům Arizony hrozí, že nebudou moci hrát v Gila River Areně, kde normálně nastupují k zápasům NHL. Městu Glendale a společnosti spravující halu totiž Coyotes dluží 1,3 milionu dolarů (29 milionů korun). Částku musí splatit do 20. prosince. Vedení klubu uvedlo, že tak učiní, jelikož dluh vznikl omylem.","Thu, 09 Dec 2021 08:59:00 GMT",https://www.idnes.cz/hokej/nhl/arizona-coyotes-dluh-gila-river-arena-hokej-glendale.A211209_091822_nhl_huda#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Sport,idnes.cz
Čtyřem novinkám kin vévodí předělávka muzikálu West Side Story,https://1gr.cz/fotky/idnes/21/063/cl6/ZAR8c5edb_profimedia_0609382633.jpg,"S pandemickými limity a s blížícími se svátky ubrala kina na počtu premiér. Tentokrát nasazují pouze čtyři novinky, a to včetně Spielbergovy předělávky klasického muzikálu West Side Story.","Thu, 09 Dec 2021 08:55:00 GMT",https://www.idnes.cz/kultura/film-televize/kina-premiery-west-side-story.A211207_130912_filmvideo_spm#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Kultura,idnes.cz
"Dálnice D11 k Jaroměři se otevře už za týden, kamiony do města nesjedou",https://1gr.cz/fotky/idnes/21/121/cl6/KVI8ff91c_134820_4422418.jpg,"Řady aut a kamionů, které nyní projíždějí Jaroměří, se od příštího víkendu zkrátí. Už 17. prosince se mají pro řidiče otevřít dva nové úseky dálnice D11 z Hradce Králové do Jaroměře. Severní sjezd Jaroměře kamiony do města nepustí. Tamní kruháč bude pod dohledem kamer a bude ho hlídat dálniční policie.","Thu, 09 Dec 2021 08:53:00 GMT",https://www.idnes.cz/hradec-kralove/zpravy/dalnice-d11-jaromer-kamiony-severni-sjezd.A211209_640701_hradec-zpravy_kvi#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Domov,idnes.cz
"Bitva v F1: Verstappen koncovku nezvládá, Hamiltona hřejí zkušenosti",https://1gr.cz/fotky/idnes/20/072/cl6/ROU84a9c9_57f27a029ef3419ca66277aaa4edbf1d_0.jpg,"Říká se, že nejlepší z nejlepších ze sebe dostanou maximum pod tlakem. O Lewisi Hamiltonovi (36) s Maxem Verstappenem (24) to platí stoprocentně. Za posledních pět Velkých cen formule 1 právě oni dva pětkrát obsadili první a druhou příčku.","Thu, 09 Dec 2021 08:51:00 GMT",https://www.idnes.cz/sport/motorsport/lewis-hamilton-formule-1-max-verstappen-souboj-o-titul.A211208_184223_motorsport_ten#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Sport,idnes.cz
"Sníh komplikuje dopravu. Tvoří se kolony, kamiony nevyjedou kopce",https://1gr.cz/fotky/idnes/21/121/cl6/BUR8ff8fc_FGJhZx_XEAE94Z_.jpg,"Na většině území Česka začalo ve čtvrtek již brzy ráno sněžit, řidiči proto musí dbát zvýšené opatrnosti. Kvůli hustému sněžení se na jihu Moravy staly desítky dopravních nehod, většinou bez zranění. Autobusy veřejné dopravy mohou mít i hodinové zpoždění. Aktuálně je omezen provoz na dálnici D3 ve směru České Budějovice - Praha.","Thu, 09 Dec 2021 08:50:00 GMT",https://www.idnes.cz/zpravy/domaci/pocasi-snih-dopravni-informace-naledi-jih-moravy.A211209_070636_domaci_ajez#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Domov,idnes.cz
Bydlení na pětníku. V Depu ukázali inspiraci pro běžný život na pár metrech,https://1gr.cz/fotky/idnes/21/121/cl6/JZK8ff903_130310_11300013_1.jpg,"Minidomky, které zaberou málo prostoru, a přesto se v nich dá bydlet, se stále častěji prosazují v Plzeňském kraji. Tomuto fenoménu se věnoval letošní ročník festivalu Plzeň Design Week, kterým ožilo před několika dny plzeňské DEPO 2015.","Thu, 09 Dec 2021 08:41:00 GMT",https://www.idnes.cz/plzen/zpravy/depo-2015-design-week-inspirace-bydleni.A211209_084842_plzen-zpravy_jzk#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Domov,idnes.cz
OBRAZEM: V Barceloně odhalili zatím nejvyšší věž baziliky Sagrada Família,https://1gr.cz/fotky/idnes/21/121/cl6/HIG8ff927_53n_culture_sagradafamilia_1208_1h.jpg,"Několik tisíc lidí ve středu večer v Barceloně přihlíželo slavnostnímu odhalení nové věže Panny Marie na bazilice Sagrada Família, na jejímž vrcholku ve výšce 138 metrů se poprvé rozsvítila obrovská skleněná hvězda.","Thu, 09 Dec 2021 08:36:00 GMT",https://www.idnes.cz/cestovani/kolem-sveta/sagrada-familia-nova-vez-rozsviceni-barcelona-spanelsko-hvezda-gaudii.A211209_090507_kolem-sveta_hig/foto#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Cestování,idnes.cz
"Paliva v Česku výrazně zlevňují, pokles cen by měl pokračovat až do Vánoc",https://1gr.cz/fotky/idnes/21/121/cl6/VCJ8fd2fd_Stojannaerpacstanici.jpg,"Ceny pohonných hmot v Česku druhý týden za sebou klesly. Nejprodávanější benzin Natural 95 zlevnil proti minulé středě o 28 haléřů na průměrných 36,75 Kč/l. Nafta se prodává v průměru za 35,69 Kč/l, což je o deset haléřů méně než před týdnem. Vyplývá to z údajů společnosti CCS, která ceny pohonných hmot sleduje.","Thu, 09 Dec 2021 08:34:00 GMT",https://www.idnes.cz/ekonomika/domaci/benzin-nafta-cerpaci-stanice-cena-palivo-ropa.A211209_090154_ekonomika_mato#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Ekonomika,idnes.cz
"O hraní občas sním, říká bývalá dětská hvězda, která je lékařkou",https://1gr.cz/fotky/idnes/21/121/cl6/ZAR8ff453_kr.jpg,"Je někdejší dětskou hereckou hvězdou, kterou si diváci můžou pamatovat z filmů Babičky dobíjejte přesně!, Pavouk se smaragdovýma očima, Monika a hříbě s hvězdičkou nebo z pohádky Berenika. Kateřina Rusinová (46) se ovšem hraní už nevěnuje a je lékařkou. Medicínu a DAMU studovala současně.","Thu, 09 Dec 2021 08:31:00 GMT",https://www.idnes.cz/revue/spolecnost/katerina-rusinova-herecka-lekarka-paliativni-pece.A211208_115728_lidicky_zar#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Revue - Společnost,idnes.cz
"Firmy chtějí po radnicích kvůli cenám stavebnin víc peněz, Ostrov odmítl",https://1gr.cz/fotky/idnes/21/042/cl6/BA8ad4a5_093946_1203706_1.jpg,"Takřka tři miliony korun navíc chtěla po ostrovské radnici firma, která provádí rekonstrukci bazénu místního koupaliště. Navýšení ceny vysvětlovali manažeři společnosti stoupajícími cenami stavebního materiálu. Ostrovští radní jejich prosbu ovšem nevyslyšeli. A nejsou v tom zdaleka sami.","Thu, 09 Dec 2021 08:26:00 GMT",https://www.idnes.cz/karlovy-vary/zpravy/zakazky-stavebni-material-rekonstrukce-vyberove-rizeni-ekonomika.A211206_640158_vary-zpravy_ba#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Domov,idnes.cz
"Do Liberce se sjíždějí volejbalové velkokluby, Novara ukázala svou sílu",https://1gr.cz/fotky/idnes/21/121/cl6/ALD8ff415_215622_6142955_1.jpg,"Dva špičkové evropské volejbalové kluby v hale Dukly během tří dnů. Volejbalistky Liberce prohrály v úterý večer s italskou Novarou v Lize mistryň 0:3, liberečtí muži hostí ve čtvrtek od 18 hodin v odvetě 3. kola Poháru CEV polský Belchatów.","Thu, 09 Dec 2021 08:24:00 GMT",https://www.idnes.cz/sport/volejbal/dukla-liberec-liga-mistryn-pohar-cev.A211209_091939_volejbal_par#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Sport,idnes.cz
