title,photo,summary,published,link,category,source
"Na Domažlicku se srazila čtyři auta, sedm lidí je zraněno",https://1gr.cz/fotky/idnes/21/122/cl6/VB901529_nehoda1.jpg,Srážka čtyř aut ráno uzavřela silnici mezi Horšovským Týnem a Domažlicemi. Záchranáři ošetřili a převezli do nemocnic sedm zraněných lidí.,"Tue, 14 Dec 2021 07:57:00 GMT",https://www.idnes.cz/plzen/zpravy/nehoda-domazlice-zraneni-auta-policie-doprava-silnice.A211214_082846_plzen-zpravy_vb#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Domov,idnes.cz
"Domácí hospice postihl covid i zdražování, tak přes e-shop prodávají jmelí",https://1gr.cz/fotky/idnes/18/092/cl6/KHR75f5d1_hospic.jpg,"Pojišťovny mají zcela uhradit péči o nemocné klienty, jenže to nestačí. Hospice tak shánějí peníze na provoz různými způsoby. Založili e-shop nebo chystají výrobky pro jarmark. Pomáhají i obce, města a kraj.","Tue, 14 Dec 2021 07:57:00 GMT",https://www.idnes.cz/ceske-budejovice/zpravy/hospic-domaci-hejtman-kuba-vojenska-pojistovna-uhrada-pece.A211213_171331_budejovice-zpravy_khr#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Domov,idnes.cz
"Na slávisty se musíme dobře nachystat, plánují rozjetí fotbalisté Baníku",https://1gr.cz/fotky/idnes/21/122/cl6/PAR901533_P2021121104144.jpg,"Nemanja Kuzmanović opět ukázal svou sílu. Fotbalistům ostravského Baníku v utkání s Pardubicemi pomohl gólem a nahrávkou k výhře 3:0. „Za tu bilanci jsem rád, i když jsem docela pokopaný. Bylo to bojovné utkání,“ usmál se.","Tue, 14 Dec 2021 07:53:00 GMT",https://www.idnes.cz/fotbal/prvni-liga/banik-ostrava-nemanja-kuzmanovic-rozhovor.A211214_084331_fotbal_par#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Sport,idnes.cz
Výměna starých světel za nové ušetří Žďáru statisíce korun ročně,https://1gr.cz/fotky/idnes/20/062/cl6/JB84007c_Depositphotos_17180881_xl_2015.jpg,"Více než tři stovky svítidel ve Žďáru nad Sázavou prošlo během letošního podzimu výměnou. Zastaralé, nejčastěji sodíkové výbojky nahradila moderní LED světla, která mají přispět k úspoře.","Tue, 14 Dec 2021 07:49:00 GMT",https://www.idnes.cz/jihlava/zpravy/svitidla-vymena-zdar-nad-sazavou-osvetleni-vysocina.A211211_641166_jihlava-zpravy_evs#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Domov,idnes.cz
Kvůli nemocným dětem i učitelům prodlužují některé školy vánoční prázdniny,https://1gr.cz/fotky/idnes/21/052/cl6/PPR8b5206_100911_1705490.jpg,"Pondělní testování ukázalo, že nakažených školáků ve Zlínském kraji ubývá, ale onemocněla řada pedagogů. Někteří ředitelé škol proto využijí ředitelské volno, aby prodloužili vánoční prázdniny. Jiní chtějí s volnými dny navzdory personální nouzi šetřit.","Tue, 14 Dec 2021 07:47:00 GMT",https://www.idnes.cz/zlin/zpravy/kraj-skoly-delsi-vanocni-prazdniny-covid-nemocnost-volno.A211214_641507_zlin-zpravy_hoo#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Domov,idnes.cz
"Emisní povolenky jsou nyní rekordně drahé, drtí to výrobce i další firmy",https://1gr.cz/fotky/idnes/21/122/cl6/JB411273_kour.JPG,"Emisní povolenky se v pondělí obchodovaly za 84 eur za kus, tedy 2,8krát dráž než na začátku roku, kdy se prodávaly za 30,79 eura. To drtí jak firmy, které je potřebují pro svou výrobu, tak společnosti, jež je přímo nepotřebují. Cena povolenek se totiž promítá i do cen elektřiny nebo plynu.","Tue, 14 Dec 2021 07:39:00 GMT",https://www.idnes.cz/ostrava/zpravy/emisni-povolenky-velke-tovarny-energetika-ekologie.A211214_641578_ostrava-zpravy_jst#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Domov,idnes.cz
První Fialova cesta povede na Slovensko. Se Zemanem se chce scházet pravidelně,https://1gr.cz/fotky/idnes/21/113/cl6/BUR8fbbbe_P2021112802480.jpg,"Nastupující premiér Petr Fiala si nedokáže představit, že by jeho první zahraniční cesta vedla jinam než na Slovensko. Řekl to v úterním rozhovoru pro Radiožurnál. Je podle něj také klíčové, aby se s prezidentem Milošem Zemanem scházeli pravidelně.","Tue, 14 Dec 2021 07:31:00 GMT",https://www.idnes.cz/zpravy/domaci/novy-premier-petr-fiala-spor-prezident-zeman-lipavsky-vlada.A211214_080222_domaci_ajez#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Domov,idnes.cz
"Epidemie stále zpomaluje, v pondělí bylo 11896 pozitivních testů",https://1gr.cz/fotky/idnes/21/073/cl6/LUH8cda8c_shutterstock_1723539427.jpg,"Epidemie v Česku stále zpomaluje. V pondělí testy odhalily 11 896 pozitivních případů, což je nejméně ve všední den za poslední čtyři týdny. Číslo incidence, tedy kolik nakažených přibylo za posledních sedm dní na 100 tisíc obyvatel, kleslo na 817, reprodukční číslo se drží na 0,83.","Tue, 14 Dec 2021 07:13:00 GMT",https://www.idnes.cz/zpravy/domaci/cesko-koronavirus-pocet-pripady-narust.A211214_054630_domaci_bur#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Domov,idnes.cz
"Karvinští se v lize potápějí stále víc. Je to frustrující, kývl Bartošák",https://1gr.cz/fotky/idnes/21/122/cl6/HLT900650_171126_1234470.jpg,Qose ve Zlíně neproměnil penaltu. K tomu karvinští fotbalisté zase zahodili několik šancí. A tak se ani v 18. kole první ligy nedočkali výhry. Jejich situace v první lize začíná být beznadějná.,"Tue, 14 Dec 2021 07:10:00 GMT",https://www.idnes.cz/fotbal/prvni-liga/zlin-karvina-18-kolo.A211214_080253_fotbal_par#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Sport,idnes.cz
"Měl jsem namále, myslel jsem, že je to konečná, svěřil se Krampol z nemocnice",https://1gr.cz/fotky/idnes/21/122/cl6/MBB76fe71_kra11.jpg,Jiří Krampol (83) skončil začátkem prosince v pražské Nemocnici Na Františku na jednotce intenzivní péče se zápalem plic. Herec se nyní poprvé od hospitalizace ozval a promluvil o svém zdravotním stavu.,"Tue, 14 Dec 2021 07:10:00 GMT",https://www.idnes.cz/revue/spolecnost/jiri-krampol-nemocnice-prudusky-zapal-plic-jip-na-frantisku.A211214_074548_lidicky_sub#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Revue - Společnost,idnes.cz
